"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ABCA12";16.8278675758031;-0.257516641064903;1.1800562804896;-0.218224033313106;0.827254560422772;0.89615765878764
"ABCA13";75.4465349778687;0.498691856351285;0.796789745817018;0.625876348144934;0.531396049144588;0.682462904241323
"ABCA17P";31.2050094267109;-1.12716700527714;1.01057498088185;-1.11537196803898;0.264691056801941;0.430622272359728
"ABCA2";760.266976418694;-2.71865715617542;0.509119706066189;-5.33991735888923;9.2988960259955e-08;2.96731491747927e-06
"ABCA3";504.955404045461;-2.69978323497756;0.624461084185491;-4.32338107745977;1.53655981630805e-05;0.000233753996769243
"ABCA5";984.957091741488;1.57840043124155;0.766378797227131;2.05955649732539;0.0394409586698273;0.115440340433084
"ABCA6";2251.26809950074;1.11159986010566;0.432602855836064;2.56956200152063;0.0101827168387688;0.041889538475199
"ABCA7";322.500166551538;-2.54812967410731;0.479524878902424;-5.31386333893599;1.07325120427262e-07;3.38685474968562e-06
"ABCA8";1649.14756608166;0.275207637868464;0.637168347833763;0.431922958514985;0.665797407882874;0.786883763129839
"ABCA9";887.995329456126;0.799506988154993;0.441010874630496;1.81289631196706;0.0698478151794966;0.172728557905164
"ABCB1";125.055990645051;2.15006816873439;0.687824398257209;3.1258969210487;0.00177263673599323;0.0107686466837188
"ABCB10";331.582566173385;0.637624681094827;0.362251674390318;1.76017041789516;0.0783789160898557;0.186792698149223
"ABCB11";28.8392212275074;-1.18862923981754;0.671986552229566;-1.76882890866464;0.0769224308699692;0.18452501338353
"ABCB4";141.192907420613;0.880710510349788;0.675197457524949;1.30437474332054;0.192105842287696;0.346258806828473
"ABCB5";48.9471516807252;-0.403981461942783;0.464730838741712;-0.869280513074166;0.384693718850124;0.55391896099537
"ABCB7";469.010491939348;0.816523207175239;0.403211891904467;2.02504743428723;0.0428624937436708;0.122348586692968
"ABCB8";219.609125883705;-0.430416176225064;0.809031287271987;-0.532014253337971;0.594716123686598;0.733405250774588
"ABCB9";217.237532572489;-0.698226420513062;0.291684153893578;-2.39377563433841;0.0166759462276273;0.0610661399897006
"ABCC1";1215.18242826938;0.637642919853531;0.40476595726853;1.57533732371299;0.115178603143249;0.243081699586133
"ABCC10";292.362462379383;-0.582684565917912;0.602656839097092;-0.966859625771273;0.333614212299453;0.501817772841111
"ABCC11";30.2206752988314;-0.210623073173496;0.493211140479276;-0.427044435713321;0.669346962675265;0.789799076304165
"ABCC12";27.2090207724582;1.20379598257952;0.830464520755051;1.44954534780732;0.147185345840808;0.28831261659528
"ABCC13";47.9931533789674;-0.238848942322791;0.984154624616454;-0.242694528226066;0.808242046592699;0.884670401034235
"ABCC2";104.663955974142;0.296882540622892;0.638850359489965;0.464713741195845;0.642136466643947;0.769036791613936
"ABCC3";655.076204669918;-1.22761084810724;0.821712679261322;-1.49396605296488;0.135184492317153;0.271813641977346
"ABCC4";588.77387164738;1.98180979704968;0.444829962146826;4.45520753027769;8.38120810837748e-06;0.000142989576144979
"ABCC6";189.180544421849;-1.22244379740102;0.412340860695976;-2.96464385153997;0.00303033528173196;0.0164052678769984
"ABCC6P1";3.63188894950565;1.49283453568613;2.47288519222272;0.60368129518553;0.54605555228864;0.693979479079193
"ABCC6P2";3.45921845179291;-1.62144100376986;2.69499089604327;-0.601649900246577;0.547407205366721;0.695204362190135
"ABCC8";207.410930349633;0.66470450072099;0.625074321301632;1.06340074782921;0.287600253784775;0.454292686637379
"ABCC9";5193.07328067363;-1.07852078578051;0.444418355712885;-2.42681422114186;0.0152320535374776;0.0570290933036414
"ABCD1";233.209866561523;-4.42923258819427;1.02728570910555;-4.31158785616784;1.62086346752711e-05;0.000243973592425363
"ABCD2";211.51336981268;3.01260073089365;0.642794338758176;4.68672567451938;2.77610674767421e-06;5.54776282320785e-05
"ABCD3";616.104612955904;0.82638030603658;0.465761271053768;1.77425723733303;0.0760206104469127;0.182984920842993
"ABCD4";618.118915785751;0.351938406424219;0.587463592889051;0.599081220835223;0.549118723865596;0.696623867996657
"ABCE1";870.111334307022;1.11065658326482;0.3542640065472;3.13510986930264;0.00171789758420856;0.0104840114502618
"ABCF1";620.719747350418;-1.95613003820001;0.466069935142818;-4.19707406700797;2.70385525662007e-05;0.000371182605555787
"ABCF2";305.931719517061;-0.331833668549258;0.420041958813844;-0.790001240557782;0.429527043832507;0.594894955708022
"ABCF3";264.243615807367;-2.14026796384618;0.445949544550114;-4.79935003859091;1.59181372758644e-06;3.42471768964229e-05
"ABCG1";886.733409096482;0.210980936142172;0.391956931591969;0.538275813327893;0.590386646762584;0.72980483965743
"ABCG2";52.0600261941308;1.30376076427502;0.463962388526809;2.81005701435146;0.00495327244502319;0.0238590124543212
"ABCG5";20.7821164002423;0.215001488619437;0.935743342385015;0.229765448366903;0.818274034658967;0.890665139291515
"ABCG8";168.297096438499;-0.123689235648839;0.510953252545482;-0.242075444343764;0.808721704984911;0.884875179713417
"ABHD1";51.9167468442008;-1.36140388632557;0.607752114606116;-2.24006441706566;0.0250867411834734;0.0825899580989096
"ABHD10";307.902870851111;0.48492207142311;0.436193317723556;1.11171366391824;0.266261282969425;0.432436077161418
"ABHD11";115.497335074044;-0.596235841351406;0.576542273535496;-1.03415806389208;0.301062275394215;0.46846724335723
"ABHD11-AS1";6.88920011823394;-2.0373039819087;1.77348141071157;-1.14875970484025;0.250655079149207;0.415549866878784
"ABHD12";597.437604560524;0.0644684509188326;0.422643073236736;0.152536395368112;0.878763886931461;0.929124050308066
"ABHD12B";175.47885193455;0.435611007069779;0.424291388468291;1.02667887897125;0.304571697902603;0.472309924809075
"ABHD13";465.598485705559;1.39020358804881;0.51116825527419;2.71965947357804;0.00653491752340406;0.0297020043497654
"ABHD14A";83.5890906743852;-1.58456384917923;0.588398021705608;-2.69301355668397;0.00708093897638644;0.0316636240857306
"ABHD14B";223.488272789303;-2.65020904908881;0.461531974301068;-5.7422003168951;9.34541749323039e-09;4.23602287465879e-07
"ABHD15";243.66506125706;-2.7198334635638;0.814650289481665;-3.33865156458035;0.000841860898506788;0.00596238414766313
"ABHD16A";132.735337856435;-0.623418532012614;0.794222629624072;-0.784941789316297;0.432487698975304;0.597457029493592
"ABHD16B";33.9379612385922;-2.50299636027758;0.751043588323979;-3.33269120353353;0.000860103474139974;0.0060614500665186
"ABHD17A";1129.01729736598;-2.83654280338565;0.407113200914631;-6.96745474480562;3.2272621388981e-12;3.42364447330765e-10
"ABHD17AP1";4.92330597715906;-3.17762229058257;1.83577102343093;-1.73094696997876;0.0834612231406152;0.195346864724379
"ABHD17B";235.223122174285;1.18598990006856;0.521921226764132;2.27235421602143;0.023065124657511;0.0775734985108598
"ABHD17C";123.980590615037;2.64448480869293;1.05527622669681;2.50596454444028;0.0122117864609787;0.0480094360689451
"ABHD18";508.778961865523;0.337991964464408;0.383845221146193;0.880542327595316;0.378565585650047;0.547863873463794
"ABHD2";4355.07682822157;0.709925430016816;0.373917185618861;1.89861674542141;0.0576148850783716;0.151432692145894
"ABHD3";284.836071480353;1.95831217425203;0.53148146029784;3.6846293248961;0.000229035712953232;0.00212065378790123
"ABHD4";243.325395707631;-0.854513896797988;0.58875344358043;-1.4513951572009;0.146669857487446;0.287628676276266
"ABHD5";455.228614427311;2.2121731044435;0.460922667050276;4.79944524881049;1.59105723129796e-06;3.42471768964229e-05
"ABHD6";152.928982509411;-0.0125308279021993;0.374036374731161;-0.0335016291161679;0.973274566715734;0.985029329066203
"ABHD8";55.1778281283046;-2.21723207713032;0.907187080750914;-2.44407369127769;0.0145224598837323;0.0549176981268785
"ABI1";1366.06823707636;1.30061007620161;0.320740246189538;4.05502612052317;5.01287008091116e-05;0.000622907669119578
"ABI2";2516.22521073385;0.432380723648043;0.369227523693296;1.17104141999773;0.24158212852553;0.405804259354264
